S.No,Job Title,Company Name,Company URL,Salary,Location,Experience,Description,Tags
470,"Engineer, Staff - WLAN System Test",Qualcomm,https://www.naukri.com/qualcomm-jobs-careers-31927,Not disclosed,Chennai,1-5 Yrs,To all Staffing and Recruiting Agencies Our Careers Site is only for individuals seekin...,"ieee, perl, layer 2, python, automation studio, udp, switching, c++"
471,Test Automation Engineer - B,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,3-6 Yrs,"As a Senior QA Automation Engineer, you are required to have experience working on diff...","uft, automation testing, automation tools, selenium, qa automation, bdd, software testing, appium"
472,Senior Software Engineer,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,4-7 Yrs,"About The Role  Works in the area of Software Engineering, which encompasses the devel...","software development, software design, production, technical support, software engineering, project management, windows installation, business analysis"
473,Application Developer,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,7-9 Yrs,Minimum 5 year(s) of experience is required. Educational Qualification : 15 YEARS FULL ...,"sap, oracle, application development, sap plant maintenance, technical documentation, sql, sap s hana, business requirement analysis"
474,Application Developer,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,3-5 Yrs,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years of fu...,"erp, sap s hana, sap abap development, sap hana, sap abap, sap, web services, data dictionary"
475,Application Developer,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,5-10 Yrs,Minimum 5 year(s) of experience is required. Educational Qualification : 15 Years of fu...,"sap, information technology, sap module, safety management, sap ehs, data conversion, project management, data migration"
476,Application Designer,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,3-7 Yrs,Required active participation / contribution in team discussionsMinimum 3 year(s) of ex...,"performance tuning, sap abap development, sap hana, sap abap, abap, bdc, project management, software development"
477,Application Lead,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,7-12 Yrs,Minimum 5 year(s) of experience is required. Educational Qualification : 15 Years of fu...,"distribution, sap sales and distribution, sap presales, sap global trade services, software engineering, c#, sap, gts"
478,Application Architect,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,5-10 Yrs,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"spring boot, java, devops, design patterns, odm, kubernetes, rest, oracle"
479,Security Architect,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,5-10 Yrs,Document the implementation of the cloud security controls and transition to cloud secu...,"security controls, information security, vulnerability management, siem, cissp, application security, owasp, penetration testing"
480,Application Developer,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,3-8 Yrs,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","ab initio, data warehousing, sql, data integration, etl process, python, project management, oracle"
481,Application Lead,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,5-10 Yrs,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"information technology, cloud development, salesforce sales cloud, salesforce marketing cloud, cloud architecture, css, android, social integration"
482,Application Developer,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,Not disclosed,Chennai,5-10 Yrs,". Project Role Description : Design, build and configure applications to meet business ...","software development, application development, software development life cycle, java, code review, c#, rest, python"
